team,vs_qb,vs_rb,vs_wr,vs_te,vs_k,dst_ppg
ARI,17.6,24.0,32.8,11.1,8.0,6.6
ATL,18.4,22.9,32.7,9.9,8.6,7.7
BAL,17.8,21.7,27.6,9.4,7.2,8.5
BUF,16.8,22.7,30.2,9.5,7.3,8.0
CAR,20.9,26.0,34.7,11.4,8.7,6.5
CHI,16.4,21.6,27.9,9.1,8.3,8.4
CIN,20.4,22.9,36.0,10.6,9.1,6.0
CLE,16.2,20.0,25.2,8.7,7.6,9.0
DAL,20.1,27.4,32.8,10.8,10.0,6.1
DEN,13.9,15.7,22.4,6.9,5.7,10.5
DET,18.3,19.6,29.8,9.2,7.7,8.0
GB,17.2,20.5,27.1,8.6,7.9,9.3
HOU,14.0,17.6,24.5,7.2,6.7,10.3
IND,17.9,24.4,30.5,9.4,7.9,7.1
JAX,16.4,20.4,27.1,8.7,7.3,9.2
KC,15.2,20.0,27.4,9.2,7.7,8.9
LV,20.6,25.6,31.5,11.2,8.0,7.0
LAC,16.8,20.1,27.0,9.4,8.0,9.2
LAR,16.9,19.5,27.7,9.2,7.1,8.4
MIA,18.7,23.7,29.5,9.3,8.9,7.1
MIN,13.6,19.8,24.2,8.3,7.1,10.0
NE,17.5,21.9,27.1,8.9,7.9,8.4
NO,19.6,22.6,32.3,9.1,7.8,7.6
NYG,19.7,24.4,30.9,9.0,8.5,7.8
NYJ,20.2,26.0,31.4,10.2,9.3,6.8
PHI,15.0,18.1,25.1,9.3,6.6,8.8
PIT,16.5,22.5,26.3,9.2,7.5,8.0
SF,16.4,19.7,31.7,9.3,8.2,7.9
SEA,14.9,18.5,24.7,8.2,7.0,9.3
TB,17.7,21.3,33.5,8.9,8.3,7.8
TEN,17.9,23.8,29.0,10.2,8.9,7.2
WAS,19.2,25.3,32.8,11.3,8.1,7.1
