abbr,name,division,off_rating,ol_grade,def_strength
ARI,Arizona Cardinals,NFC West,7.3,5.5,4
ATL,Atlanta Falcons,NFC South,7.6,6.5,5
BAL,Baltimore Ravens,AFC North,9.2,7.0,6
BUF,Buffalo Bills,AFC East,9.8,7.5,6
CAR,Carolina Panthers,NFC South,7.1,5.5,4
CHI,Chicago Bears,NFC North,8.4,7.0,6
CIN,Cincinnati Bengals,AFC North,8.5,5.0,3
CLE,Cleveland Browns,AFC North,5.8,5.5,7
DAL,Dallas Cowboys,NFC East,9.1,7.0,3
DEN,Denver Broncos,AFC West,8.7,7.5,9
DET,Detroit Lions,NFC North,9.7,8.0,6
GB,Green Bay Packers,NFC North,8.6,7.0,7
HOU,Houston Texans,AFC South,7.2,5.0,9
IND,Indianapolis Colts,AFC South,9.3,7.5,5
JAX,Jacksonville Jaguars,AFC South,8.3,6.0,7
KC,Kansas City Chiefs,AFC West,8.0,7.0,7
LV,Las Vegas Raiders,AFC West,6.2,5.5,4
LAC,Los Angeles Chargers,AFC West,8.1,6.0,7
LAR,Los Angeles Rams,NFC West,9.0,7.0,6
MIA,Miami Dolphins,AFC East,7.4,5.0,4
MIN,Minnesota Vikings,NFC North,7.0,6.0,8
NE,New England Patriots,AFC East,8.8,6.5,6
NO,New Orleans Saints,NFC South,5.9,6.0,5
NYG,New York Giants,NFC East,6.4,6.0,5
NYJ,New York Jets,AFC East,6.5,6.5,4
PHI,Philadelphia Eagles,NFC East,8.3,8.5,7
PIT,Pittsburgh Steelers,AFC North,7.7,6.0,6
SF,San Francisco 49ers,NFC West,8.6,7.0,6
SEA,Seattle Seahawks,NFC West,9.0,6.5,8
TB,Tampa Bay Buccaneers,NFC South,8.4,7.5,5
TEN,Tennessee Titans,AFC South,5.6,5.5,5
WAS,Washington Commanders,NFC East,7.5,6.5,4
